Split Speed finished. Start to generate Mask, Delta, Last_observed_X ...
Generate Mask, Delta, Last_observed_X finished. Start to shuffle and split dataset ...
Finished
Model Structure:  GRUD (
  (fc): Linear (38 -> 1)
  (sigmoid): Sigmoid ()
  (zl): Linear (114 -> 38)
  (rl): Linear (114 -> 38)
  (hl): Linear (114 -> 38)
  (gamma_x_l): FilterLinear(in_features=38, out_features=38, bias=True)
  (gamma_h_l): Linear (38 -> 38)
)
Start Training ... 
Output type dermined by the model
Epoch: 0, train_loss: [ 0.07552284], valid_loss: [ 0.07505596], time: [ 183.13], best model: 1
Epoch: 1, train_loss: [ 0.06143714], valid_loss: [ 0.06160348], time: [ 129.48], best model: 1
Epoch: 2, train_loss: [ 0.06040779], valid_loss: [ 0.06114114], time: [ 129.42], best model: 1
Epoch: 3, train_loss: [ 0.0587432], valid_loss: [ 0.06113125], time: [ 125.12], best model: 0
Epoch: 4, train_loss: [ 0.05762335], valid_loss: [ 0.05863064], time: [ 123.66], best model: 1
Epoch: 5, train_loss: [ 0.05714209], valid_loss: [ 0.05864948], time: [ 124.74], best model: 0
Epoch: 6, train_loss: [ 0.05684006], valid_loss: [ 0.05879382], time: [ 125.9], best model: 0
Epoch: 7, train_loss: [ 0.0566092], valid_loss: [ 0.05804314], time: [ 127.88], best model: 1
Epoch: 8, train_loss: [ 0.05631838], valid_loss: [ 0.05741111], time: [ 127.59], best model: 1
Epoch: 9, train_loss: [ 0.05606792], valid_loss: [ 0.05808711], time: [ 126.68], best model: 0
Epoch: 10, train_loss: [ 0.05582716], valid_loss: [ 0.05780278], time: [ 124.24], best model: 0
Epoch: 11, train_loss: [ 0.0556836], valid_loss: [ 0.05718406], time: [ 126.57], best model: 1
Epoch: 12, train_loss: [ 0.05552413], valid_loss: [ 0.05780152], time: [ 132.7], best model: 0
Epoch: 13, train_loss: [ 0.05540993], valid_loss: [ 0.05696546], time: [ 133.34], best model: 1
Epoch: 14, train_loss: [ 0.05514808], valid_loss: [ 0.05680624], time: [ 133.68], best model: 1
Epoch: 15, train_loss: [ 0.0550499], valid_loss: [ 0.05713068], time: [ 133.32], best model: 0
Epoch: 16, train_loss: [ 0.05493382], valid_loss: [ 0.0564753], time: [ 135.41], best model: 1
Epoch: 17, train_loss: [ 0.05452905], valid_loss: [ 0.05727726], time: [ 136.25], best model: 0
Epoch: 18, train_loss: [ 0.05460085], valid_loss: [ 0.05702114], time: [ 135.58], best model: 0
Epoch: 19, train_loss: [ 0.05437081], valid_loss: [ 0.05641392], time: [ 130.16], best model: 1
Epoch: 20, train_loss: [ 0.05420899], valid_loss: [ 0.05667486], time: [ 129.71], best model: 0
Epoch: 21, train_loss: [ 0.05418195], valid_loss: [ 0.05616932], time: [ 131.11], best model: 1
Epoch: 22, train_loss: [ 0.0539634], valid_loss: [ 0.0561021], time: [ 128.21], best model: 1
Epoch: 23, train_loss: [ 0.05376003], valid_loss: [ 0.0561742], time: [ 129.05], best model: 0
Epoch: 24, train_loss: [ 0.05365157], valid_loss: [ 0.05634774], time: [ 134.34], best model: 0
Epoch: 25, train_loss: [ 0.0533479], valid_loss: [ 0.05597054], time: [ 127.77], best model: 1
Epoch: 26, train_loss: [ 0.05321297], valid_loss: [ 0.05567652], time: [ 133.73], best model: 1
Epoch: 27, train_loss: [ 0.0530143], valid_loss: [ 0.05554194], time: [ 129.63], best model: 1
Epoch: 28, train_loss: [ 0.05278423], valid_loss: [ 0.05516473], time: [ 132.96], best model: 1
Epoch: 29, train_loss: [ 0.05251654], valid_loss: [ 0.05522278], time: [ 134.64], best model: 0
Epoch: 30, train_loss: [ 0.05226518], valid_loss: [ 0.05612948], time: [ 131.45], best model: 0
Epoch: 31, train_loss: [ 0.05206186], valid_loss: [ 0.05578586], time: [ 131.19], best model: 0
Epoch: 32, train_loss: [ 0.05181304], valid_loss: [ 0.05507002], time: [ 136.06], best model: 1
Epoch: 33, train_loss: [ 0.0515552], valid_loss: [ 0.05446954], time: [ 131.27], best model: 1
