Split Speed finished. Start to generate Mask, Delta, Last_observed_X ...
Generate Mask, Delta, Last_observed_X finished. Start to shuffle and split dataset ...
Finished
Model Structure:  GRUD (
  (fc): Linear (38 -> 1)
  (sigmoid): Sigmoid ()
  (zl): Linear (114 -> 38)
  (rl): Linear (114 -> 38)
  (hl): Linear (114 -> 38)
  (gamma_x_l): FilterLinear(in_features=38, out_features=38, bias=True)
  (gamma_h_l): Linear (38 -> 38)
)
Start Training ... 
Output type dermined by the model
Epoch: 0, train_loss: [ 0.34561795], valid_loss: [ 0.33800799], time: [ 4.96], best model: 1
Epoch: 1, train_loss: [ 0.14797826], valid_loss: [ 0.13882405], time: [ 3.59], best model: 1
Epoch: 2, train_loss: [ 0.10346479], valid_loss: [ 0.08971162], time: [ 3.6], best model: 1
Epoch: 3, train_loss: [ 0.08769558], valid_loss: [ 0.07088528], time: [ 3.59], best model: 1
Epoch: 4, train_loss: [ 0.08007266], valid_loss: [ 0.06073664], time: [ 3.59], best model: 1
Epoch: 5, train_loss: [ 0.07577378], valid_loss: [ 0.05387362], time: [ 3.57], best model: 1
Epoch: 6, train_loss: [ 0.07125452], valid_loss: [ 0.04796399], time: [ 3.59], best model: 1
Epoch: 7, train_loss: [ 0.07136795], valid_loss: [ 0.04494366], time: [ 3.59], best model: 1
Epoch: 8, train_loss: [ 0.0702244], valid_loss: [ 0.04514536], time: [ 3.58], best model: 0
Epoch: 9, train_loss: [ 0.06939672], valid_loss: [ 0.04175949], time: [ 3.59], best model: 1
Epoch: 10, train_loss: [ 0.06877134], valid_loss: [ 0.0401196], time: [ 3.58], best model: 1
Epoch: 11, train_loss: [ 0.06827049], valid_loss: [ 0.03974023], time: [ 3.58], best model: 1
Epoch: 12, train_loss: [ 0.06770314], valid_loss: [ 0.03906235], time: [ 3.58], best model: 1
Epoch: 13, train_loss: [ 0.06714374], valid_loss: [ 0.0382103], time: [ 3.59], best model: 1
Epoch: 14, train_loss: [ 0.0663673], valid_loss: [ 0.03840012], time: [ 3.57], best model: 0
Epoch: 15, train_loss: [ 0.06341072], valid_loss: [ 0.03969234], time: [ 3.6], best model: 0
Epoch: 16, train_loss: [ 0.06430429], valid_loss: [ 0.03946236], time: [ 3.58], best model: 0
Epoch: 17, train_loss: [ 0.06284992], valid_loss: [ 0.03635124], time: [ 3.59], best model: 1
Epoch: 18, train_loss: [ 0.06099636], valid_loss: [ 0.03680185], time: [ 3.56], best model: 0
Epoch: 19, train_loss: [ 0.0586276], valid_loss: [ 0.03643812], time: [ 3.59], best model: 0
Epoch: 20, train_loss: [ 0.05475312], valid_loss: [ 0.04056513], time: [ 3.59], best model: 0
